Step No.,DAC Code,Hemisphere Volt [V],Energy [eV],Energy Err Neg [eV],Energy Err Pos [eV]
1,3379,1472.897435897436,12653.527972027972,1138.8175174825174,1138.8175174825174
2,2910,1268.4615384615386,10897.237762237763,980.7513986013986,980.7513986013986
3,2507,1092.7948717948718,9388.101398601399,844.9291258741258,844.9291258741258
4,2159,941.1025641025641,8084.926573426573,727.6433916083915,727.6433916083915
5,1860,810.7692307692308,6965.244755244755,626.8720279720279,626.8720279720279
6,1602,698.3076923076923,5999.097902097901,539.9188111888111,539.9188111888111
7,1380,601.5384615384615,5167.762237762237,465.0986013986014,465.0986013986014
8,1188,517.8461538461538,4448.76923076923,400.38923076923066,400.38923076923066
9,1023,445.9230769230769,3830.884615384615,344.77961538461534,344.77961538461534
10,881,384.025641025641,3299.12937062937,296.9216433566433,296.9216433566433
11,759,330.84615384615387,2842.2692307692305,255.80423076923074,255.80423076923074
12,654,285.0769230769231,2449.06993006993,220.4162937062937,220.4162937062937
13,563,245.41025641025644,2108.2972027972028,189.74674825174824,189.74674825174824
14,485,211.41025641025644,1816.2062937062938,163.45856643356643,163.45856643356643
15,418,182.2051282051282,1565.3076923076922,140.87769230769229,140.87769230769229
16,360,156.92307692307693,1348.111888111888,121.33006993006991,121.33006993006991
17,310,135.12820512820514,1160.8741258741259,104.47867132867133,104.47867132867133
18,267,116.38461538461539,999.8496503496502,89.98646853146852,89.98646853146852
19,230,100.25641025641026,861.2937062937062,77.51643356643356,77.51643356643356
20,198,86.3076923076923,741.4615384615383,66.73153846153845,66.73153846153845
21,171,74.53846153846153,640.3531468531468,57.631783216783205,57.631783216783205
22,147,64.07692307692307,550.4790209790208,49.543111888111866,49.543111888111866
23,127,55.358974358974365,475.5839160839161,42.80255244755245,42.80255244755245
24,109,47.51282051282051,408.1783216783216,36.73604895104894,36.73604895104894
25,94,40.97435897435898,352.006993006993,31.68062937062937,31.68062937062937
26,81,35.307692307692314,303.3251748251748,27.299265734265735,27.299265734265735
27,70,30.512820512820515,262.1328671328671,23.591958041958037,23.591958041958037
28,60,26.153846153846157,224.6853146853147,20.221678321678322,20.221678321678322
29,52,22.666666666666668,194.72727272727272,17.525454545454544,17.525454545454544
30,45,19.615384615384617,168.513986013986,15.166258741258739,15.166258741258739
31,38,16.564102564102566,142.3006993006993,12.807062937062938,12.807062937062938
32,33,14.384615384615385,123.57692307692307,11.121923076923075,11.121923076923075
33,28,12.205128205128204,104.85314685314684,9.436783216783216,9.436783216783216
34,24,10.461538461538462,89.87412587412587,8.088671328671328,8.088671328671328
35,21,9.153846153846155,78.63986013986015,7.077587412587413,7.077587412587413
36,18,7.846153846153847,67.4055944055944,6.066503496503496,6.066503496503496
37,16,6.9743589743589745,59.91608391608391,5.392447552447552,5.392447552447552
38,13,5.666666666666667,48.68181818181818,4.381363636363636,4.381363636363636
39,12,5.230769230769231,44.93706293706293,4.044335664335664,4.044335664335664
40,10,4.358974358974359,37.44755244755244,3.3702797202797194,3.3702797202797194
41,9,3.9230769230769234,33.7027972027972,3.033251748251748,3.033251748251748
42,8,3.4871794871794872,29.958041958041957,2.696223776223776,2.696223776223776
43,7,3.051282051282051,26.21328671328671,2.359195804195804,2.359195804195804
44,6,2.6153846153846154,22.468531468531467,2.022167832167832,2.022167832167832
45,6,2.6153846153846154,22.468531468531467,2.022167832167832,2.022167832167832
46,5,2.1794871794871793,18.72377622377622,1.6851398601398597,1.6851398601398597
47,4,1.7435897435897436,14.979020979020978,1.348111888111888,1.348111888111888
48,3,1.3076923076923077,11.234265734265733,1.011083916083916,1.011083916083916
49,2,0.8717948717948718,7.489510489510489,0.674055944055944,0.674055944055944
